,0
396,TFAP2E
397,PSMB2
398,C1orf216
399,CLSPN
400,AGO4
401,AGO1
402,AGO3
403,TEKT2
404,ADPRHL2
405,COL8A2
406,TRAPPC3
407,MAP7D1
408,THRAP3
409,SH3D21
410,EVA1B
411,STK40
412,LSM10
413,OSCP1
414,CSF3R
415,GRIK3
416,ZC3H12A
417,MEAF6
418,SNIP1
419,DNALI1
420,GNL2
421,RSPO1
422,C1orf109
423,CDCA8
424,EPHA10
425,MANEAL
426,YRDC
427,C1orf122
428,MTF1
429,INPP5B
430,SF3A3
431,FHL3
432,UTP11
433,POU3F1
434,RRAGC
435,MYCBP
436,GJA9
437,RHBDL2
438,AKIRIN1
439,NDUFS5
440,MACF1
441,BMP8A
442,PABPC4
443,HEYL
444,NT5C1A
445,HPCAL4
446,PPIE
447,BMP8B
448,OXCT2
449,TRIT1
450,MYCL
451,MFSD2A
452,CAP1
453,PPT1
454,RLF
455,TMCO2
456,ZMPSTE24
457,COL9A2
458,SMAP2
459,ZFP69B
460,ZFP69
461,EXO5
462,ZNF684
463,RIMS3
464,NFYC
465,KCNQ4
466,CITED4
467,CTPS1
468,SLFNL1
469,SCMH1
470,FOXO6
471,EDN2
472,HIVEP3
473,GUCA2B
474,GUCA2A
475,FOXJ3
476,RIMKLA
477,ZMYND12
478,PPCS
479,CCDC30
480,PPIH
481,YBX1
482,P3H1
483,TMEM269
484,SVBP
485,ERMAP
486,ZNF691
487,SLC2A1
488,FAM183A
489,EBNA1BP2
490,CFAP57
491,TMEM125
492,C1orf210
493,TIE1
494,MPL
495,CDC20
496,ELOVL1
497,MED8
498,SZT2
499,HYI
500,PTPRF
501,KDM4A
502,ST3GAL3
503,IPO13
504,DPH2
505,ATP6V0B
506,B4GALT2
507,CCDC24
508,SLC6A9
509,KLF17
510,KLF18
511,DMAP1
512,ERI3
513,RNF220
514,TMEM53
515,KIF2C
516,BEST4
517,PLK3
518,TCTEX1D4
519,BTBD19
520,PTCH2
521,EIF2B3
522,HECTD3
523,UROD
524,ZSWIM5
525,HPDL
526,MUTYH
527,TOE1
528,TESK2
529,CCDC163
530,MMACHC
531,PRDX1
532,AKR1A1
533,NASP
534,CCDC17
535,GPBP1L1
536,TMEM69
537,IPP
538,MAST2
539,PIK3R3
540,TSPAN1
541,POMGNT1
542,LURAP1
543,RAD54L
544,LRRC41
545,UQCRH
546,NSUN4
547,FAAH
548,DMBX1
549,MKNK1
550,MOB3C
